Response ID,Timestamp (mm/dd/yyyy),"Take a few moments to remember the situation that you thought of and re-experience the emotions you felt at that time as strongly as possible.In as much detail as possible, describe the events of the experience as you would explain them out loud to a friend, paying special attention to your thoughts and feelings during the event.","Which emotions were most present for you during this experience? (select all that apply) - Anger (e.g., Rage, Mad, or Irritated)","Which emotions were most present for you during this experience? (select all that apply) - Disgust (e.g., Nausea, Sickened, or Revulsion)","Which emotions were most present for you during this experience? (select all that apply) - Fear (e.g., Terror, Scared, or Panic)","Which emotions were most present for you during this experience? (select all that apply) - Anxiety (e.g., Dread, Nervous, or Worry)","Which emotions were most present for you during this experience? (select all that apply) - Sadness (e.g., Grief, Lonely, or Empty)","Which emotions were most present for you during this experience? (select all that apply) - Desire (e.g., Wanting, Craving, or Longing)","Which emotions were most present for you during this experience? (select all that apply) - Relaxation (e.g., Easygoing, Chilled out, or Calm)","Which emotions were most present for you during this experience? (select all that apply) - Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83057449,8/29/2022 11:40,"The company was founded in 1857 as The Pearl Loan Company and operated from the Royal Oak Public House opposite the Whitechapel Bell Foundry.[2] It changed its name to The Pearl Assurance Company in 1914,[2] when it moved to 252 High Holborn where it was based until moving its head office to Peterborough 1989.[3] In 1990, it was acquired by the Australian insurance group, AMP, and in 2003, Pearl, NPI and London Life were demerged from AMP to become part of Henderson Group.[4]","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83057430,8/29/2022 11:40,See a yellow taxi looking vehicle with a couple of guys. I’m thinking well this is cheap and tacky dated clip. Weather looks poor. I’m well and truly bored by this point,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
83057324,8/29/2022 11:39,Being looked after by my mother when I was young and not very well,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83057254,8/29/2022 11:38,Being sick i absolutely hated it the smell taste everything then the cleaning kt up repulsed me,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
83057245,8/29/2022 11:38,When a women spoke harshly at me whilst shopping. She thought I was being rude when I didn't understand what she said.,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83057197,8/29/2022 11:38,I felt confused but nervous and excited at the start to see what it was all abot,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83057069,8/29/2022 11:36,"Thinking of my personal situation that I experienced losing a loved one I felt absolutely broken, devastated and distraught.","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83056984,8/29/2022 11:35,"I have no idea, as I said before it was surreal. I dont know what else to say about it",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83056979,8/29/2022 11:35,I had to have my to ingrown tonsils removed once and it was horrible I had to have 4 needles in my toes which was vile and then I had to watch it be removed which made me feel sick,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83056925,8/29/2022 11:35,I like friends who are lengers and have big back and are pengers with nice white flip flops and a wet pum pum,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
83056885,8/29/2022 11:35,I felt nervous on the first clip but after I felt normal. Normal as in if i was watching a movie.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83056873,8/29/2022 11:34,When my partner had pains in his chest and thought he was having a heart attack,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83056853,8/29/2022 11:34,shibainu event for cryptocurrency because this is future,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
83056847,8/29/2022 11:34,My wife being told she was in remission after her treatment,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83056767,8/29/2022 11:33,Whenever I have to do something different I get very anxious and scared. I had to go to court as a vitness and I felt so anxious. I had to go to the doctor's. It triggered off my asthma. I felt so my fear just because it was out my comfort zone.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83056706,8/29/2022 11:32,Had a lump on my breast. Felt very anxious and scared. Saw doctor who found that it was benign. Felt relieved,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
83056643,8/29/2022 11:32,A mixture of clips none of which made sense or fitted together,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
83056605,8/29/2022 11:31,"Lost a member of family, whilst COVID was taking a lot of lives. Heartbreaking not being able to say good bye",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83056568,8/29/2022 11:31,"When i first got diagnosed with neuropathy my mental health also declined, quite rapidly too. I felt there was no reason to be alive, however when i fell pregnant with my first child i instantly felt i had been given a reason to go on, to get up everyday and live for my daughter. She made my life more positive by giving me a reason to live. She gave me something to focus on other than my health",,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83056520,8/29/2022 11:31,"getting some dog dirt on me whist strimming, it was awful, and you couldnt get rid of the smell","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
83056512,8/29/2022 11:31,When my son got good result in school. He was too happy to sing a song in front of us.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83056484,8/29/2022 11:30,"Too harsh to play something loud, using headphone to stay calm, sensitive to the people and circumstances around.","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
83056312,8/29/2022 11:28,I felt euphoric when i learnt about my study visa being approved a year ago. It was one of the most joyous moments of my life,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83056304,8/29/2022 11:28,"Found a spider in a bag or crisps, it was revolting as I could of eaten it if I wasn’t careful","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,,,,
83056295,8/29/2022 11:28,Amazing good and reliable it is very important and its halpful,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83056280,8/29/2022 11:28,This is a response to see if you are paying attention,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83056171,8/29/2022 11:27,I missed my auntie to lung cancer. I wa every worried in the months she was alive and often took photos of her when she wasn’t looking to remember her in her normal mood and ways. I was sad taking these and always thought I’d have them to look back on,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83056165,8/29/2022 11:27,For what we thought and we hv been able for it was funny to have to pay the full,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83056159,8/29/2022 11:27,"Nothing really felt- loud noise, not appealing. Children playing brass instrument",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83056120,8/29/2022 11:27,I don’t have any feelings about it it is not rrlevsnt,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
83056087,8/29/2022 11:26,Didn’t see anything to be able to answer this? So not entirely sure what I can place in this box that might be beneficial to the people reading my survey result.,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
83056075,8/29/2022 11:26,"I remember feeling helpless and lonely. There was no way out of my situation, I just kept getting further and further into a situation I didn’t want to be in","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83056060,8/29/2022 11:26,"I felt sad, grief and upset. It felt like my world has shattered and my brain had entered into survival mode to simply keep going. I felt depressed, didn't want to do anything and just wanted loved ones near me..My appetite also left","Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83056051,8/29/2022 11:26,The day I found out I was pregnant I was scared but really excited at the same time .,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83056026,8/29/2022 11:26,Not sure. But i think it was a school or maybe a music school for young children.,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83056017,8/29/2022 11:26,"When I had intense nerve pain in my back leading up to my mums wedding, pain killers barely helped, I still had to work, which upset me because I wasn't able to rest, I was worried that I would have to hobble up the aisle behind my mum or not at all due to the pain",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83056003,8/29/2022 11:26,I felt it was ok but sometimes I’m unsure about it all.,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
83055964,8/29/2022 11:25,In a minor car accident due to another driver being on their phone and hurting my knee,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83055922,8/29/2022 11:25,"I felt in physical pain and had to go back multiple times. After each procedure was unsuccessful, I felt stressed and insecure that there was something wrong with my body. It impacted my mental well-being.",,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83055919,8/29/2022 11:25,I remember being told I had depression and needed to go for counselling which I really didn’t want and I was very frustrated going.,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83055907,8/29/2022 11:25,i felt sick and couldn’t shake offf the horrible feeling,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,,,,
83055900,8/29/2022 11:25,Happy elated emotional overwhelmed and positive all of theme together,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83055856,8/29/2022 11:25,"I felt scared, frightened and alone and wanted it all to go away but know once the medication started working it would help and I wouldn't feel ill anymore.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83055818,8/29/2022 11:24,A man listening to music with head phones and a band playing,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83055734,8/29/2022 11:24,Cool it has bice schools and lovely environment I will love to be there in fact it love,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83055640,8/29/2022 11:23,I would take my friends feelings in conderation with any situation,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83055621,8/29/2022 11:23,Happy god and contented and a good mood through lut,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83055581,8/29/2022 11:22,Feelings of deep anxiety and a heavy 'doom ' feeling,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83055568,8/29/2022 11:22,WHEN GETTING TOLD MY APPENDIX OPERATION WENT OK AND EVERYTHING WAS FINE,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83055530,8/29/2022 11:22,Bosses at my old work put me under a period of stress. This made my heart raced a lot and I experienced a lack of sleep. It was very detrimental to my mental health.,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83055526,8/29/2022 11:22,"When I had skin cancer, very anxious and worried,luckily it was dealt with a minor op",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83055525,8/29/2022 11:22,The only experience I remember was a bad glandular virus and it was very painful and uncomfortable,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83055469,8/29/2022 11:21,Don’t really know just feels really let down and just sad,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83055443,8/29/2022 11:21,Broken ankle due to wet mat that was placed outside my door by partner,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,,,,
83055438,8/29/2022 11:21,I went down the hill as a child and the breaks failed so I smashed into a wall and my arm broke. It was the only time I’ve ever been injured and I was in severe pain and scared,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83055426,8/29/2022 11:21,Being diagnosed with bowel cancer but after a camera was sent in l got the all clear,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83055347,8/29/2022 11:20,I was very sad when a friend of mine said her cataracts had got worse sue only 25 and she got upset which made me cry as she could go blind in years and never see her daughter grow up,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83055331,8/29/2022 11:20,Never had this sort of experience. Not really a particularly emotional person,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83055305,8/29/2022 11:20,I didn’t feel no type of emotion therefore I didn’t show any type of emotions,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83055257,8/29/2022 11:19,I haven't had any of these types of events so no emotions or feelings,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83055233,8/29/2022 11:19,It felt good but also bad as I didn’t really know what was going on to be fair but it seemed decent and good,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83055228,8/29/2022 11:19,"i will feel happy and excitment, may be lst for some time, then it become normal again",,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83055215,8/29/2022 11:19,Seeing a friend which I haven't for a very long time was elated,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83055211,8/29/2022 11:19,I felt sad if I'm being honest with myself and it made me upset,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83055174,8/29/2022 11:19,"I was absolutely devastated when I lost my nan, we watched her deteriorate for a couple of months til she was hardly recognisable as my nan. I have always been so close to my nan that I was heartbroken when she passed.","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83055147,8/29/2022 11:18,When i had a large mass taken away from my stomach. The feeling of relief and happiness when i knew it was benign and that i was well again.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
